% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 70.88    0.014740          12      1212         1 poll
 12.08    0.002512           9       270         2 read
  5.34    0.001110           3       306       303 newfstatat
  2.94    0.000612         612         1           execve
  2.04    0.000424          21        20           mmap
  1.74    0.000361          15        24           write
  1.64    0.000342          26        13         1 openat
  0.62    0.000128          25         5           mprotect
  0.58    0.000121           8        15           fstat
  0.27    0.000057           3        15           close
  0.25    0.000051          25         2           munmap
  0.25    0.000051           4        11           getrandom
  0.19    0.000039          19         2           pread64
  0.17    0.000036          12         3           brk
  0.16    0.000034           8         4           rt_sigaction
  0.12    0.000025           6         4           getcwd
  0.12    0.000024           4         5           lseek
  0.09    0.000018           9         2         2 readlink
  0.07    0.000014          14         1         1 access
  0.06    0.000013          13         1         1 mkdir
  0.04    0.000009           2         4         3 connect
  0.04    0.000009           9         1           arch_prctl
  0.04    0.000009           9         1           set_tid_address
  0.04    0.000009           9         1           sendmmsg
  0.04    0.000009           9         1           rseq
  0.04    0.000008           2         4           fcntl
  0.04    0.000008           8         1           set_robust_list
  0.03    0.000006           6         1           prlimit64
  0.02    0.000004           1         4           socket
  0.01    0.000003           3         1           rt_sigprocmask
  0.01    0.000002           1         2           ioctl
  0.01    0.000002           1         2           recvfrom
  0.01    0.000002           2         1           getppid
  0.00    0.000001           1         1           setsockopt
  0.00    0.000001           1         1           uname
  0.00    0.000001           1         1           futex
------ ----------- ----------- --------- --------- ----------------
100.00    0.020795          10      1943       314 total
